conf. year,journal,journal year,journal vol,title,doi,doi link
2021,C&G,2022,98,"Computational design, fabrication and evaluation of rubber protein models",10.1016/j.cag.2021.05.010,https://doi.org/10.1016/j.cag.2021.05.010
2021,C&G,2022,98,Topological analysis of density fields: An evaluation of segmentation methods,10.1016/j.cag.2021.05.015,https://doi.org/10.1016/j.cag.2021.05.015
2021,C&G,2022,98,VRdeo: Creating engaging educational material for asynchronous student-teacher exchange using virtual reality,10.1016/j.cag.2021.06.009,https://doi.org/10.1016/j.cag.2021.06.009
2021,C&G,2022,98,A framework for uncertainty-aware visual analytics of proteins,10.1016/j.cag.2021.05.011,https://doi.org/10.1016/j.cag.2021.05.011
2022,C&G,2023,112,Moliverse: Contextually embedding the microcosm into the universe,10.1016/j.cag.2023.02.006,https://doi.org/10.1016/j.cag.2023.02.006
