year,journal,title,doi,doi link,xplore id,ieee xplore direct link,ieee xplore pdf direct link,pdf filename
2021,TVCG,Integrated Dual Analysis of Quantitative and Qualitative High-Dimensional Data,10.1109/TVCG.2021.3056424,https://doi.org/10.1109/TVCG.2021.3056424,9346003,https://ieeexplore.ieee.org/document/9346003,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9346003,09346003.pdf
2021,TVCG,Scalable Scalable Vector Graphics: Automatic Translation of Interactive SVGs to a Multithread VDOM for Fast Rendering,10.1109/TVCG.2021.3059294,https://doi.org/10.1109/TVCG.2021.3059294,9354592,https://ieeexplore.ieee.org/document/9354592,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9354592,09354592.pdf
2021,TVCG,Net2Vis - A Visual Grammar for Automatically Generating Publication-Tailored CNN Architecture Visualizations,10.1109/TVCG.2021.3057483,https://doi.org/10.1109/TVCG.2021.3057483,9350177,https://ieeexplore.ieee.org/document/9350177,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9350177,09350177.pdf
2021,TVCG,Task-Based Effectiveness of Interactive Contiguous Area Cartograms,10.1109/TVCG.2020.3041745,https://doi.org/10.1109/TVCG.2020.3041745,9275378,https://ieeexplore.ieee.org/document/9275378,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9275378,09275378.pdf
2021,TVCG,DimLift: Interactive Hierarchical Data Exploration through Dimensional Bundling,10.1109/TVCG.2021.3057519,https://doi.org/10.1109/TVCG.2021.3057519,9349198,https://ieeexplore.ieee.org/document/9349198,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9349198,09349198.pdf
2021,TVCG,Multi-level Area Balancing of Clustered Graphs,10.1109/TVCG.2020.3038154,https://doi.org/10.1109/TVCG.2020.3038154,9262073,https://ieeexplore.ieee.org/document/9262073,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9262073,09262073.pdf
2021,TVCG,A Progressive Approach to Scalar Field Topology,10.1109/TVCG.2021.3060500,https://doi.org/10.1109/TVCG.2021.3060500,9359504,https://ieeexplore.ieee.org/document/9359504,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9359504,09359504.pdf
2021,TVCG,Optimization and Augmentation for Data Parallel Contour Trees,10.1109/TVCG.2021.3064385,https://doi.org/10.1109/TVCG.2021.3064385,9372897,https://ieeexplore.ieee.org/document/9372897,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9372897,09372897.pdf
2021,TVCG,Multiscale Unfolding: Illustratively Visualizing the Whole Genome at a Glance,10.1109/TVCG.2021.3065443,https://doi.org/10.1109/TVCG.2021.3065443,9376675,https://ieeexplore.ieee.org/document/9376675,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9376675,09376675.pdf
2021,TVCG,A State-of-the-Art Survey of Tasks for Tree Design and Evaluation with a Curated Task Dataset,10.1109/TVCG.2021.3064037,https://doi.org/10.1109/TVCG.2021.3064037,9371413,https://ieeexplore.ieee.org/document/9371413,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9371413,09371413.pdf
