year,journal,title,doi,doi link
2019,TVCG,Comparison of Projective Augmented Reality Concepts to Support Medical Needle Placement,10.1109/TVCG.2019.2903942,https://doi.org/10.1109/TVCG.2019.2903942
2019,TVCG,DeepVID: Deep Visual Interpretation and Diagnosis for Image Classifiers via Knowledge Distillation,10.1109/TVCG.2019.2903943,https://doi.org/10.1109/TVCG.2019.2903943
2019,TVCG,Visual Exploration of Neural Document Embedding in Information Retrieval: Semantics and Feature Selection,10.1109/TVCG.2019.2903946,https://doi.org/10.1109/TVCG.2019.2903946
2019,TVCG,Stippling of 2D Scalar Fields,10.1109/TVCG.2019.2903945,https://doi.org/10.1109/TVCG.2019.2903945
2019,TVCG,Relaxing Dense Scatter Plots with Pixel-Based Mappings,10.1109/TVCG.2019.2903956,https://doi.org/10.1109/TVCG.2019.2903956
2020,TVCG,Modeling How Humans Judge Dot-Label Relations in Point Cloud Visualizations,10.1109/TVCG.2020.2970509,https://doi.org/10.1109/TVCG.2020.2970509
2020,TVCG,Photographic High-Dynamic-Range Scalar Visualization,10.1109/TVCG.2020.2970522,https://doi.org/10.1109/TVCG.2020.2970522
2020,TVCG,Touch? Speech? Or Touch and Speech? Investigating Multimodal Interaction for Visual Network Exploration and Analysis,10.1109/TVCG.2020.2970512,https://doi.org/10.1109/TVCG.2020.2970512
2020,TVCG,The Sprawlter Graph Readability Metric: Combining Sprawl and Area-aware Clutter,10.1109/TVCG.2020.2970523,https://doi.org/10.1109/TVCG.2020.2970523
2020,TVCG,A User-centered Design in Scientific Visualization Targeting Domain Experts,10.1109/TVCG.2020.2970525,https://doi.org/10.1109/TVCG.2020.2970525
2021,TVCG,Tac-Miner: Visual Tactic Mining for Multiple Table Tennis Matches,10.1109/TVCG.2021.3074576,https://doi.org/10.1109/TVCG.2021.3074576
2021,TVCG,SurfRiver: Flattening Stream Surfaces for Comparative Visualization,10.1109/TVCG.2021.3074585,https://doi.org/10.1109/TVCG.2021.3074585
2021,TVCG,Smile or Scowl? Looking at Infographic Design Through the Affective Lens,10.1109/TVCG.2021.3074582,https://doi.org/10.1109/TVCG.2021.3074582
2021,TVCG,Asynchronous and Load-Balanced Union-Find for Distributed and Parallel Scientific Data Visualization and Analysis,10.1109/TVCG.2021.3074584,https://doi.org/10.1109/TVCG.2021.3074584
2021,TVCG,On the Readability of Abstract Set Visualizations,10.1109/TVCG.2021.3074615,https://doi.org/10.1109/TVCG.2021.3074615
2022,TVCG,AMM: Adaptive Multilinear Meshes,10.1109/TVCG.2022.3165392,https://doi.org/10.1109/TVCG.2022.3165392
2022,TVCG,Image-based Visualization of Large Volumetric Data Using Moments,10.1109/TVCG.2022.3165346,https://doi.org/10.1109/TVCG.2022.3165346
2022,TVCG,GNN-Surrogate: A Hierarchical and Adaptive Graph Neural Network for Parameter Space Exploration of Unstructured-Mesh Ocean Simulations,10.1109/TVCG.2022.3165345,https://doi.org/10.1109/TVCG.2022.3165345
2022,TVCG,VAC-CNN: A Visual Analytics System for Comparative Study of Deep Convolutional Neural Networks,10.1109/TVCG.2022.3165347,https://doi.org/10.1109/TVCG.2022.3165347
2022,TVCG,A Visual Analytics Approach for Hardware System Monitoring with Streaming Functional Data Analysis,10.1109/TVCG.2022.3165348,https://doi.org/10.1109/TVCG.2022.3165348
2023,TVCG,SDRQuerier: A Visual Querying Framework for CrossNational Survey Data Recycling,10.1109/TVCG.2023.3261944,https://doi.org/10.1109/TVCG.2023.3261944
2023,TVCG,Federated Visualization: A Privacy-preserving Strategy for Aggregated Visual Query,10.1109/TVCG.2023.3261938,https://doi.org/10.1109/TVCG.2023.3261938
2023,TVCG,LinSets.zip: Compressing Linear Set Diagrams,10.1109/TVCG.2023.3261934,https://doi.org/10.1109/TVCG.2023.3261934
2023,TVCG,FraudAuditor: A Visual Analytics Approach for Collusive Fraud in Health Insurance,10.1109/TVCG.2023.3261910,https://doi.org/10.1109/TVCG.2023.3261910
2023,TVCG,How Does Attention Work in Vision Transformers? A Visual Analytics Attempt,10.1109/TVCG.2023.3261935,https://doi.org/10.1109/TVCG.2023.3261935
2024,TVCG,VIOLET: Visual Analytics for Explainable Quantum Neural Networks,10.1109/TVCG.2024.3388557,https://doi.org/10.1109/TVCG.2024.3388557
2024,TVCG,Visual Analytics for Efficient Image Exploration and User-Guided Image Captioning,10.1109/TVCG.2024.3388514,https://doi.org/10.1109/TVCG.2024.3388514
2024,TVCG,A Survey of Designs for Combined 2D+3D Visual Representations,10.1109/TVCG.2024.3388516,https://doi.org/10.1109/TVCG.2024.3388516
2024,TVCG,Enhancing Single-Frame Supervision for Better Temporal Action Localization,10.1109/TVCG.2024.3388521,https://doi.org/10.1109/TVCG.2024.3388521
2024,TVCG,ColorNetVis: An Interactive Color Network Analysis System for Exploring the Color Composition of Traditional Chinese Painting,10.1109/TVCG.2024.3388520,https://doi.org/10.1109/TVCG.2024.3388520
2024,TVCG,Comparative Evaluation of Animated Scatter Plot Transitions,10.1109/TVCG.2024.3388558,https://doi.org/10.1109/TVCG.2024.3388558
2024,TVCG,Animating Hypothetical Trips to Communicate Space-Based Temporal Uncertainty on Digital Maps,10.1109/TVCG.2024.3388517,https://doi.org/10.1109/TVCG.2024.3388517
2024,TVCG,TacPrint: Visualizing the Biomechanical Fingerprint in Table Tennis,10.1109/TVCG.2024.3388555,https://doi.org/10.1109/TVCG.2024.3388555
2024,TVCG,Sticky Links: Encoding Quantitative Data of Graph Edges,10.1109/TVCG.2024.3388562,https://doi.org/10.1109/TVCG.2024.3388562
2024,TVCG,ScrollTimes: Tracing the Provenance of Paintings as a Window into History,10.1109/TVCG.2024.3388523,https://doi.org/10.1109/TVCG.2024.3388523
2024,TVCG,"Same Data, Diverging Perspectives: the Power of Visualizations to Elicit Competing Interpretations",10.1109/TVCG.2024.3388515,https://doi.org/10.1109/TVCG.2024.3388515
2024,TVCG,JsonCurer: Data Quality Management for JSON Based on an Aggregated Schema,10.1109/TVCG.2024.3388556,https://doi.org/10.1109/TVCG.2024.3388556
2024,TVCG,PM-Vis: A Visual Analytics System for Tracing and Analyzing the Evolution of Pottery Motifs,10.1109/TVCG.2024.3388525,https://doi.org/10.1109/TVCG.2024.3388525
2024,TVCG,Struggles and Strategies in Understanding Information Visualizations,10.1109/TVCG.2024.3388560,https://doi.org/10.1109/TVCG.2024.3388560
2024,TVCG,CoInsight: Visual Storytelling for Hierarchical Tables with Connected Insights,10.1109/TVCG.2024.3388553,https://doi.org/10.1109/TVCG.2024.3388553
2025,TVCG,Investigating Visual Perception of Degree Centrality in Graph Visualization,10.1109/TVCG.2025.3567129,https://doi.org/10.1109/TVCG.2025.3567129
2025,TVCG,Accelerating Computation of Stable Merge Tree Edit Distances using Parameterized Heuristics,10.1109/TVCG.2025.3567120,https://doi.org/10.1109/TVCG.2025.3567120
2025,TVCG,InsightLens: Augmenting LLM-Powered Data Analysis with Interactive Insight Management and Navigation,10.1109/TVCG.2025.3567131,https://doi.org/10.1109/TVCG.2025.3567131
2025,TVCG,ChartInsighter: An Approach for Mitigating Hallucination in Time-series Chart Summary Generation with A Benchmark Dataset,10.1109/TVCG.2025.3567122,https://doi.org/10.1109/TVCG.2025.3567122
2025,TVCG,Approximate Puzzlepiece Compositing,10.1109/TVCG.2025.3567124,https://doi.org/10.1109/TVCG.2025.3567124
2025,TVCG,A General Framework for Augmenting Lossy Compressors with Topological Guarantees,10.1109/TVCG.2025.3567054,https://doi.org/10.1109/TVCG.2025.3567054
2025,TVCG,Explorable INR: An Implicit Neural Representation for Ensemble Simulation Enabling Efficient Spatial and Parameter Exploration,10.1109/TVCG.2025.3567052,https://doi.org/10.1109/TVCG.2025.3567052
2025,TVCG,SurfPatch: Enabling Patch Matching for Exploratory Stream Surface Visualization,10.1109/TVCG.2025.3567133,https://doi.org/10.1109/TVCG.2025.3567133
2025,TVCG,iVR-GS: Inverse Volume Rendering for Explorable Visualization via Editable 3D Gaussian Splatting,10.1109/TVCG.2025.3567121,https://doi.org/10.1109/TVCG.2025.3567121
2025,TVCG,DTBIA: An Immersive Visual Analytics System for Brain-Inspired Research,10.1109/TVCG.2025.3567135,https://doi.org/10.1109/TVCG.2025.3567135
2025,TVCG,Human-Guided Image Generation for Expanding Small-Scale Training Image Datasets,10.1109/TVCG.2025.3567053,https://doi.org/10.1109/TVCG.2025.3567053
2025,TVCG,PrettiSmart: Visual Interpretation of Smart Contracts via Simulation,10.1109/TVCG.2025.3567130,https://doi.org/10.1109/TVCG.2025.3567130
2025,TVCG,InclusiViz: Visual Analytics of Human Mobility Data for Understanding and Mitigating Urban Segregation,10.1109/TVCG.2025.3567117,https://doi.org/10.1109/TVCG.2025.3567117
2025,TVCG,VisTaxa: Developing a Taxonomy of Historical Visualizations,10.1109/TVCG.2025.3567132,https://doi.org/10.1109/TVCG.2025.3567132
