"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"“They Aren't Built for Me”: An Exploratory Study of Strategies for Measurement of Graphical Primitives in Tactile Graphics","A. Khalaila; L. Harrison; N. W. Kim; D. Cashman","Brandeis University, USA; Worcester Polytechnic Institute, USA; Boston College, USA; Brandeis University, USA",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","1","12","Advancements in accessibility technologies such as low-cost swell form printers or refreshable tactile displays promise to allow blind or low-vision (BLV) people to analyze data by transforming visual representations directly to tactile representations. However, it is possible that design guidelines derived from experiments on the visual perception system may not be suited for the tactile perception system. We investigate the potential mismatch between familiar visual encodings and tactile perception in an exploratory study into the strategies employed by BLV people to measure common graphical primitives converted to tactile representations. First, we replicate the Cleveland and McGill study on graphical perception using swell form printing with eleven BLV subjects. Then, we present results from a group interview in which we describe the strategies used by our subjects to read four common chart types. While our results suggest that familiar encodings based on visual perception studies can be useful in tactile graphics, our subjects also expressed a desire to use encodings designed explicitly for BLV people. Based on this study, we identify gaps between the perceptual expectations of common charts and the perceptual tools available in tactile perception. Then, we present a set of guidelines for the design of tactile graphics that accounts for these gaps. Supplemental material is available at https://osf.io/3nsfp/?view_only=7b7b8dcbae1d4c9a8bb4325053d13d9f.","1941-0506","","10.1109/TVCG.2025.3633881","XYZ(grant numbers:12345-67890); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11300946","Accessibility;Tactile Graphics;Graphical Perception","Graphics;Data visualization;Visualization;Encoding;Bars;Guidelines;Braille;Electronic mail;Visual perception;Printing","","","","53","CCBY","15 Dec 2025","Jan. 2026","","IEEE","IEEE Journals"
"ReVISit 2: A Full Experiment Life Cycle User Study Framework","Z. Cutler; J. Wilburn; H. Shrestha; Y. Ding; B. Bollen; K. A. Nadib; T. He; A. McNutt; L. Harrison; A. Lex","University of Utah, USA; University of Utah, USA; WPI, U.S.; WPI, U.S.; University of Utah, USA; University of Utah, USA; University of Utah, USA; University of Utah, USA; WPI, U.S.; University of Utah, USA",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","13","23","Online user studies of visualizations, visual encodings, and interaction techniques are ubiquitous in visualization research. Yet, designing, conducting, and analyzing studies effectively is still a major burden. Although various packages support such user studies, most solutions address only facets of the experiment life cycle, make reproducibility difficult, or do not cater to nuanced study designs or interactions. We introduce reVISit 2, a software framework that supports visualization researchers at all stages of designing and conducting browser-based user studies. ReVISit supports researchers in the design, debug & pilot, data collection, analysis, and dissemination experiment phases by providing both technical affordances (such as replay of participant interactions) and sociotechnical aids (such as a mindfully maintained community of support). It is a proven system that can be (and has been) used in publication-quality studies-which we demonstrate through a series of experimental replications. We reflect on the design of the system via interviews and an analysis of its technical dimensions. Through this work, we seek to elevate the ease with which studies are conducted, improve the reproducibility of studies within our community, and support the construction of advanced interactive studies.","1941-0506","","10.1109/TVCG.2025.3633896","National Science Foundation(grant numbers:2213756,2213757,2402719,2313998); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11355812","User studies;crowdsourcing;visualization experiments","Surveys;Reproducibility of results;Data visualization;Visualization;Libraries;Browsers;Videos;Software;Instruments;Graphical user interfaces","","","","73","IEEE","16 Jan 2026","Jan. 2026","","IEEE","IEEE Journals"
"Beyond Problem Solving: Framing and Problem-Solution Co-Evolution in Data Visualization Design","P. C. Parsons; P. C. Shukla","Purdue University, USA; Purdue University, USA",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","24","34","Visualization design is often described as a process of solving a well-defined problem by navigating a design space. While existing visualization design models have provided valuable structure and guidance, they tend to foreground technical problem-solving and underemphasize the interpretive, judgment-based aspects of design. In contrast, research in other design disciplines has emphasized the importance of framing-how designers define and redefine what the problem is-and the co-evolution of problem and solution spaces through reflective practice. These dimensions remain underexplored in visualization research, particularly from the perspective of expert practitioners. This paper investigates how visualization designers frame problems and navigate the interplay between problem understanding and solution development. We conducted a mixed-methods study with 11 expert design practitioners using design challenges, diary entries, and semi-structured interviews. Through reflexive thematic analysis, we identified key strategies that participants used to frame design problems, reframe them in response to evolving constraints or insights, and construct bridges between problem and solution spaces. These included the use of metaphors, heuristics, sketching, primary generators, and reflective evaluation of failed or incomplete ideas. Our findings contribute an empirically grounded account of visualization design as a reflective, co-evolutionary practice. We show that framing is not a preliminary step, but a continuous activity embedded in the act of designing. Participants frequently shifted their understanding of the problem based on solution attempts, feedback from tools, and ethical or narrative concerns. These insights extend current visualization design models and highlight the need for frameworks that better account for framing and interpretive judgment. We conclude with implications for visualization research, education, and practice. In particular, we discuss how design education can better support framing and co-evolutionary thinking, and how visualization research can benefit from greater attention to the cognitive strategies and reflective processes that underpin expert design.","1941-0506","","10.1109/TVCG.2025.3633866","NSF(grant numbers:2146228); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11264315","Data visualization design;data visualization practice;problem framing;problem-solution co-evolution;design cognition","Data visualization;Visualization;Problem-solving;Generators;Bridges;Reflection;Navigation;Shape;Iterative methods;Education","","1","","64","IEEE","21 Nov 2025","Jan. 2026","","IEEE","IEEE Journals"
"Causality-based Visual Analytics of Sentiment Contagion in Social Media Topics","R. Li; S. Ye; Y. Lin; B. Zhou; Z. Kang; T. -Q. Peng; W. Fu; T. Tang; Y. Wu","State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; Department of Communication, Michigan State University, East Lansing, USA; NA; Laboratory of Art and Archaeology Image, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","35","45","Sentiment contagion occurs when attitudes toward one topic are influenced by attitudes toward others. Detecting and understanding this phenomenon is essential for analyzing topic evolution and informing social policies. Prior research has developed models to simulate the contagion process through hypothesis testing and has visualized user-topic correlations to aid comprehension. Nevertheless, the vast volume of topics and the complex interrelationships on social media present two key challenges: (1) efficient construction of large-scale sentiment contagion networks, and (2) in-depth explorations of these networks. To address these challenges, we introduce a causality-based framework that efficiently constructs and explains sentiment contagion. We further propose a map-like visualization technique that encodes time using a horizontal axis, enabling efficient visualization of causality-based sentiment flow while maintaining scalability through limitless spatial segmentation. Based on the visualization, we develop CausalMap, a system that supports analysts in tracing sentiment contagion pathways and assessing the influence of different demographic groups. Furthermore, we conduct comprehensive evaluations—including two use cases, a task-based user study, an expert interview, and an algorithm evaluation—to validate the usability and effectiveness of our approach.","1941-0506","","10.1109/TVCG.2025.3633839","National Key R&D Program of China(grant numbers:2023YFB3107100); Zhejiang Provincial Natural Science Foundation(grant numbers:LD25F020003); NSFC(grant numbers:62421003,U22A2032,62402437); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11281557","Social Media;Causal Analysis;Visual Analytics","Social networking (online);Visual analytics;Data visualization;Scalability;Interviews;Fitting;Usability;Object recognition;Computational modeling;Bayes methods","","","","58","IEEE","8 Dec 2025","Jan. 2026","","IEEE","IEEE Journals"
"NLI4VolVis: Natural Language Interaction for Volume Visualization via LLM Multi-Agents and Editable 3D Gaussian Splatting","K. Ai; K. Tang; C. Wang","Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","46","56","Traditional volume visualization (VolVis) methods, like direct volume rendering, suffer from rigid transfer function designs and high computational costs. Although novel view synthesis approaches enhance rendering efficiency, they require additional learning effort for non-experts and lack support for semantic-level interaction. To bridge this gap, we propose NLI4VolVis, an interactive system that enables users to explore, query, and edit volumetric scenes using natural language. NLI4VolVis integrates multi-view semantic segmentation and vision-language models to extract and understand semantic components in a scene. We introduce a multi-agent large language model architecture equipped with extensive function-calling tools to interpret user intents and execute visualization tasks. The agents leverage external tools and declarative VolVis commands to interact with the VolVis engine powered by 3D editable Gaussians, enabling open-vocabulary object querying, real-time scene editing, best-view selection, and 2D stylization. We validate our system through case studies and a user study, highlighting its improved accessibility and usability in volumetric data exploration. We strongly recommend readers check out our case studies, demo video, and source code at https://nli4volvis.github.io/.","1941-0506","","10.1109/TVCG.2025.3633888","U.S. National Science Foundation(grant numbers:IIS-1955395,IIS-2101696,OAC-2104158,IIS-2401144); U.S. Department of Energy(grant numbers:DESC0023145); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11264350","Volume visualization;novel view synthesis;natural language interaction;open-vocabulary querying;editable 3D Gaussian splatting;multi-agent collaboration","Three-dimensional displays;Rendering (computer graphics);Real-time systems;Natural languages;Semantics;Data visualization;Image color analysis;Visualization;Solid modeling;Lighting","","2","","75","IEEE","21 Nov 2025","Jan. 2026","","IEEE","IEEE Journals"
"ConceptViz: A Visual Analytics Approach for Exploring Concepts in Large Language Models","H. Li; Z. Wen; Q. Jiang; C. Li; Y. Wu; Y. Yang; Y. Wang; X. Huang; M. Zhu; W. Chen","State Key Lab of CAD&CG, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China; Zhejiang University, China; State Key Lab of CAD&CG, Zhejiang University, China",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","57","67","Large language models (LLMs) have achieved remarkable performance across a wide range of natural language tasks. Understanding how LLMs internally represent knowledge remains a significant challenge. Despite Sparse Autoencoders (SAEs) have emerged as a promising technique for extracting interpretable features from LLMs, SAE features do not inherently align with human-understandable concepts, making their interpretation cumbersome and labor-intensive. To bridge the gap between SAE features and human concepts, we present ConceptViz, a visual analytics system designed for exploring concepts in LLMs. ConceptViz implements a novel Identification ⇒ Interpretation ⇒Validation pipeline, enabling users to query SAEs using concepts of interest, interactively explore concept-to-feature alignments, and validate the correspondences through model behavior verification. We demonstrate the effectiveness of ConceptViz through two usage scenarios and a user study. Our results show that ConceptViz enhances interpretability research by streamlining the discovery and validation of meaningful concept representations in LLMs, ultimately aiding researchers in building more accurate mental models of LLM features. Our code and user guide are publicly available at https://github.com/Happy-Hippo209/conceptViz.","1941-0506","","10.1109/TVCG.2025.3634806","National Natural Science Foundation of China(grant numbers:62132017,62421003,62302435); Zhejiang Provincial Natural Science Foundation of China(grant numbers:LD24F020011); “Leading Goose” R&D Program of Zhejiang(grant numbers:2024C01167); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11267036","Large Language Models;Mechanistic Interpretability;Visual Analytics","Feature extraction;Visual analytics;Semantics;Analytical models;Neurons;Computational modeling;Pipelines;Integrated circuit modeling;Transformers;Measurement","","","","72","IEEE","24 Nov 2025","Jan. 2026","","IEEE","IEEE Journals"
"OW-CLIP: Data-Efficient Visual Supervision for Open-World Object Detection via Human-AI Collaboration","J. Duan; W. Xue; Z. Kang; S. Liu; J. Xia","School of Computer Science and Engineering, Central South University, China; School of Computer Science and Engineering, Central South University, China; School of Computer Science and Engineering, Central South University, China; School of Software, Tsinghua University, China; School of Computer Science and Engineering, Central South University, China",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","68","78","Open-world object detection (OWOD) extends traditional object detection to identifying both known and unknown object, necessitating continuous model adaptation as new annotations emerge. Current approaches face significant limitations: 1) data-hungry training due to reliance on a large number of crowdsourced annotations, 2) susceptibility to “partial feature overfitting,” and 3) limited flexibility due to required model architecture modifications. To tackle these issues, we present OW-CLIP, a visual analytics system that provides curated data and enables data-efficient OWOD model incremental training. OW-CLIP implements plug-and-play multimodal prompt tuning tailored for OWOD settings and introduces a novel “Crop-Smoothing” technique to mitigate partial feature overfitting. To meet the data requirements for the training methodology, we propose dual-modal data refinement methods that leverage large language models and cross-modal similarity for data generation and filtering. Simultaneously, we develope a visualization interface that enables users to explore and deliver high-quality annotations—including class-specific visual feature phrases and fine-grained differentiated images. Quantitative evaluation demonstrates that OW-CLIP achieves competitive performance at 89% of state-of-the-art performance while requiring only 3.8% self-generated data, while outperforming SOTA approach when trained with equivalent data volumes. A case study shows the effectiveness of the developed method and the improved annotation quality of our visualization system.","1941-0506","","10.1109/TVCG.2025.3633870","National Natural Science Foundation of China(grant numbers:U23A20313,62372471); The Science Foundation for Distinguished Young Scholars of Hunan Province(grant numbers:2023JJ10080); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11264329","Open-world object detection;data-efficient supervision;large language model;human-AI collaboration","Annotations;Training;Object detection;Adaptation models;Data models;Overfitting;Data visualization;Data integrity;Training data;Collaboration","","","","63","IEEE","21 Nov 2025","Jan. 2026","","IEEE","IEEE Journals"
"Visual Analytics using Tensor Unified Linear Comparative Analysis","N. Okami; K. Miyake; N. Sakamoto; J. Nonaka; T. Fujiwara","Kobe University, Japan; Kobe University, Japan; Kobe University, Japan; RIKEN R-CCS, Japan; Linköping University University of Arizona, Sweden",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","79","89","Comparing tensors and identifying their (dis)similar structures is fundamental in understanding the underlying phenomena for complex data. Tensor decomposition methods help analysts extract tensors' essential characteristics and aid in visual analytics for tensors. In contrast to dimensionality reduction (DR) methods designed only for analyzing a matrix (i.e., second-order tensor), existing tensor decomposition methods do not support flexible comparative analysis. To address this analysis limitation, we introduce a new tensor decomposition method, named tensor unified linear comparative analysis (TULCA), by extending its DR counterpart, ULCA, for tensor analysis. TULCA integrates discriminant analysis and contrastive learning schemes for tensor decomposition, enabling flexible comparison of tensors. We also introduce an effective method to visualize a core tensor extracted from TULCA into a set of 2D visualizations. We integrate TULCA's functionalities into a visual analytics interface to support analysts in interpreting and refining the TULCA results. We demonstrate the efficacy of TULCA and the visual analytics interface with computational evaluations and two case studies, including an analysis of log data collected from a supercomputer.","1941-0506","","10.1109/TVCG.2025.3633912","Knut and Alice Wallenberg Foundation(grant numbers:KAW 2019.0024); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11369296","Tensor decomposition;tensor analysis;contrastive learning;dimensionality reduction;supercomputer","Tensors;Visual analytics;Contrastive learning;Supercomputers;Matrix decomposition;Principal component analysis;Data mining;Covariance matrices;Spatiotemporal phenomena;High dimensional data","","","","64","IEEE","30 Jan 2026","Jan. 2026","","IEEE","IEEE Journals"
"CrossSet: Unveiling the Complex Interplay of Two Set-typed Dimensions in Multivariate Data","K. Matković; R. Splechtna; D. Gračanin; H. Hauser","VRVis Research Center in Vienna, Austria; VRVis Research Center in Vienna, Austria; Virginia Tech, Virginia, USA; University of Bergen, Norway",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","90","100","The interactive visual analysis of set-typed data, i.e., data with attributes that are of type set, is a rewarding area of research and applications. Valuable prior work has contributed solutions that enable the study of such data with individual set-typed dimensions. In this paper, we present CrossSet, a novel method for the joint study of two set-typed dimensions and their interplay. Based on a task analysis, we describe a new, multi-scale approach to the interactive visual exploration and analysis of such data. Two set-typed data dimensions are jointly visualized using a hierarchical matrix layout, enabling the analysis of the interactions between two set-typed attributes at several levels, in addition to the analysis of individual such dimensions. CrossSet is anchored at a compact, large-scale overview that is complemented by drill-down opportunities to study the relations between and within the set-typed dimensions, enabling an interactive visual multi-scale exploration and analysis of bivariate set-typed data. Such an interactive approach makes it possible to study single set-typed dimensions in detail, to gain an overview of the interaction and association between two such dimensions, to refine one of the dimensions to gain additional details at several levels, and to drill down to the specific interactions of individual set-elements from the set-typed dimensions. To demonstrate the effectiveness and efficiency of CrossSet, we have evaluated the new method in the context of several application scenarios.","1941-0506","","10.1109/TVCG.2025.3633897","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11264367","set-typed data;bivariate visual data exploration and analysis","Visualization;Data visualization;Layout;Histograms;Synthetic data;Diseases;Data analysis;Scalability;Object recognition;Hospitals","","","","48","IEEE","21 Nov 2025","Jan. 2026","","IEEE","IEEE Journals"
"RelMap: Reliable Spatiotemporal Sensor Data Visualization via Imputative Spatial Interpolation","J. Chen; H. Ye; H. Zhu; S. Fu; C. Wang; C. Li","School of Computer Science and Technology, East China Normal University, China; School of Computer Science and Technology, East China Normal University, China; School of Computer Science and Technology, East China Normal University, China; School of Management, Zhejiang University, China; School of Computer Science and Technology, East China Normal University, China; School of Computer Science and Technology, East China Normal University, China",IEEE Transactions on Visualization and Computer Graphics,"6 Feb 2026","2026","32","1","101","111","Accurate and reliable visualization of spatiotemporal sensor data such as environmental parameters and meteorological conditions is crucial for informed decision-making. Traditional spatial interpolation methods, however, often fall short of producing reliable interpolation results due to the limited and irregular sensor coverage. This paper introduces a novel spatial interpolation pipeline that achieves reliable interpolation results and produces a novel heatmap representation with uncertainty information encoded. We leverage imputation reference data from Graph Neural Networks (GNNs) to enhance visualization reliability and temporal resolution. By integrating Principal Neighborhood Aggregation (PNA) and Geographical Positional Encoding (GPE), our model effectively learns the spatiotemporal dependencies. Furthermore, we propose an extrinsic, static visualization technique for interpolation-based heatmaps that effectively communicates the uncertainties arising from various sources in the interpolated map. Through a set of use cases, extensive evaluations on real-world datasets, and user studies, we demonstrate our model's superior performance for data imputation, the improvements to the interpolant with reference data, and the effectiveness of our visualization design in communicating uncertainties.","1941-0506","","10.1109/TVCG.2025.3633901","Natural Science Foundation of Shanghai Municipality(grant numbers:24ZR1418300); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11271253","Spatial interpolation;spatiotemporal data;uncertainty visualization;graph neural network","Data visualization;Uncertainty;Heating systems;Interpolation;Spatiotemporal phenomena;Imputation;Reliability;Pipelines;Graph neural networks;Encoding","","","","73","IEEE","28 Nov 2025","Jan. 2026","","IEEE","IEEE Journals"
